"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Altice NV A","0.56","EQUITY","ATC","Large Growth","2014-03-31","3818229","-510574","Communication Services","87969616","20.56","-0.6|-2.84%","21.13-20.49","2333397","23.42-12.77","France","-9.87","55.54","29.75","-","23261.94","EUR","-","9.16","-","-","-","-"
"Wirecard AG","0.54","EQUITY","WDI","Mid Growth","2014-09-30","1336649","-219134","Technology","85257108","64.65","-0.15|-0.23%","64.89-63.8","310026","66.42-38.59","Germany","19.55","53.87","30.21","31.75","7988.52","EUR","-","58.5","28.73","-","-","-"
"LiLAC Group C","0.52","EQUITY","LILAK","Mid Growth","2015-09-30","3816923","1302300","Communication Services","81720321","25.49","0.02|0.08%","25.59-25.27","433746","35.68-19.33","United Kingdom","16.71","-27.63","-","-","4393.58","USD","-","20.41","-","-","-","-"
"CyberAgent Inc","0.5","EQUITY","4751","Mid Growth","2016-03-31","2543400","-267200","Consumer Cyclical","78989302","3390","-5|-0.15%","3465-3360","871600","4095-2554","Japan","-1.88","20.85","24","31.89","426758.97","JPY","-","17.56","99.18","-","-","-"
"WPP PLC","0.49","EQUITY","WPP","Large Core","2008-12-31","3631922","415347","Consumer Cyclical","76476238","1551","2|0.13%","1560-1536","5316663","1928.07-1531","United Kingdom","-3.93","-5.16","11.76","16.09","20657.47","GBX","3","-12.55","14.36","-","-","-"
"KBC Group SA/NV","0.48","EQUITY","KBC","Large Value","2016-09-30","1002061","-116035","Financial Services","75975324","69.96","-0.02|-0.03%","69.99-69.25","658826","70.98-44.08","Belgium","8.27","60.07","21.86","36.1","29269.31","EUR","3","21.98","11.21","-","-","-"
"CP All PCL Shs Foreign Registered","0.48","EQUITY","CPALL-F","Large Growth","2013-09-30","41002500","-1857000","Consumer Defensive","75740562","60.5","-","60.5-60.5","35000","64.75-51.5","Thailand","0.83","18.27","16.47","14.18","547963","THB","-","0.41","31.51","-","-","-"
"Wipro Ltd","0.45","EQUITY","WIPRO","Large Core","2017-03-31","17437288","7312378","Technology","69929095","289.05","-0.65|-0.22%","290.85-287.9","2433017","293.5-204.05","India","16.97","4.75","2.4","12.89","1397955.75","INR","3","22.27","16.47","-","-","-"
"Tim Participacoes SA ADR","0.44","EQUITY","TSU","Large Core","2013-12-31","4702595","-1609454","Communication Services","69598406","17.08","0.03|0.18%","17.15-16.72","1382481","17.28-11.17","Brazil","6.02","35.22","-13.96","-4.54","8270.69","USD","3","45.53","29.03","-","-","-"
"Firstrand Ltd","0.44","EQUITY","FSR","Large Core","2017-06-30","19102759","19102759","Financial Services","68890834","5200","10|0.19%","5203-5157","9171960","5446-4338","South Africa","4.31","11.67","10.16","17.23","291668.75","ZAC","-","0.04","12.16","-","-","-"
"Fujitsu General Ltd","0.43","EQUITY","6755","Mid Core","2017-03-31","2919200","84200","Consumer Cyclical","67696351","2320","-4|-0.17%","2332-2274","686400","2720-1953","Japan","-1.73","3.21","20.22","30.16","243154.17","JPY","-","-5.62","24.24","-","-","-"
"Burberry Group PLC","0.42","EQUITY","BRBY","Large Core","2012-06-30","3081186","-994467","Consumer Cyclical","66672885","1716","-13|-0.75%","1727-1712","1429938","1879-1228","United Kingdom","8.08","32.95","8.74","8.04","7454.72","GBX","3","16.53","26.44","-","-","-"
"Sun Life Financial Inc","0.41","EQUITY","SLF","Large Value","2017-06-30","1821800","1821800","Financial Services","65128507","47.63","-0.07|-0.15%","47.66-47.11","623249","53.75-40","Canada","-0.3","14.06","8.04","20.87","29229.54","CAD","3","-5.95","11.79","-","-","-"
"Tata Consultancy Services Ltd","0.4","EQUITY","TCS","Large Growth","2014-10-31","1726737","-1433867","Technology","63034748","2484.3","2.6|0.1%","2493.05-2442","691376","2744.8-2051.9","India","10.81","-3.34","0.34","17.22","4752697.5","INR","3","6.75","18.86","-","-","-"
"Inpex Corp","0.4","EQUITY","1605","Large Growth","2011-06-30","6475600","-322100","Energy","62524936","1075","-5.5|-0.51%","1079-1067","1290600","1306-750.2","Japan","1.12","35.13","-10.21","1.59","1577915.88","JPY","-","-6.96","34.18","-","-","-"
"Astro Malaysia Holdings Bhd","0.38","EQUITY","6399","Large Core","2013-03-31","100213400","0","Consumer Cyclical","59064916","2.54","0.04|1.6%","2.55-2.5","4917700","3.01-2.47","Malaysia","-4.63","-8.73","-4.71","-","13284.28","MYR","-","0.19","21.34","-","-","-"
"GAM Holding AG","0.37","EQUITY","GAM","Mid Value","2015-06-30","4312494","-195608","Financial Services","57980823","15.25","-","15.3-14.7","423276","15.35-9.76","Switzerland","19.61","47.34","-0.4","10.38","2314.09","CHF","-","29.24","17.94","-","-","-"
"Kansai Paint Co Ltd","0.37","EQUITY","4613","Large Growth","2016-03-31","2493700","-124100","Basic Materials","57570040","2535","-10|-0.39%","2552-2521","195500","2678-1939","Japan","3.12","19.95","14.25","25.99","654922.12","JPY","-","18.72","30.49","-","-","-"
"58.com Inc ADR repr Class A","0.36","EQUITY","WUBA","-","2016-09-30","1299300","-323100","Technology","57312123","51.43","0.74|1.46%","51.56-50.53","824414","55.28-27.58","China","29.94","0.21","-1.64","-","7472.02","USD","-","83.68","-","-","-","-"
