"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Mitsubishi Corp","0.89","EQUITY","8058","Large Value","2009-12-31","3537200","0","Industrials","76660252","2396.5","1|0.04%","2414-2383.5","4053000","2705.5-1730.5","Japan","-0.29","39.25","5.9","11.66","3795896.25","JPY","-","-1.75","8.64","-","-","-"
"Commerzbank AG","0.89","EQUITY","CBK","Large Growth","2015-06-30","8441270","0","Financial Services","76480806","11.18","0.05|0.4%","11.24-11.1","3354107","11.32-5.16","Germany","23.79","95.56","0.46","-1.67","13945","EUR","3","53.67","42.83","-","-","-"
"Nomura Holdings Inc","0.88","EQUITY","8604","Large Core","2015-03-31","12169400","0","Financial Services","75332720","656.8","6.7|1.03%","662.8-650.3","23488400","784-407.4","Japan","-1.82","44.25","2.39","21.42","2304194.5","JPY","3","-3.09","9.46","-","-","-"
"Japan Tobacco Inc","0.87","EQUITY","2914","Large Value","2010-03-31","2295300","-960400","Consumer Defensive","74706402","3834","-61|-1.57%","3848-3806","6266600","4243-3607","Japan","5.34","-1.37","5.2","12.28","6975773.5","JPY","-","1.56","18.28","-","-","-"
"Unilever PLC","0.87","EQUITY","ULVR","Large Growth","2006-09-30","1507930","324413","Consumer Defensive","74382821","4339","12|0.28%","4356.43-4305.5","450232","4428.5-3050.5","United Kingdom","9.7","25.92","20.67","16.3","124761.41","GBX","3","33.18","23.85","-","-","-"
"Valeo SA","0.86","EQUITY","FR","Large Growth","2016-09-30","1109502","17889","Consumer Cyclical","73806221","59.33","-0.07|-0.12%","59.46-59.03","219218","67.8-43.69","France","-8.11","32.64","26.58","40.23","14089.72","EUR","-","11.06","14.14","-","-","-"
"Sumitomo Electric Industries Ltd","0.86","EQUITY","5802","Large Core","2013-12-31","4439000","0","Technology","73791177","1787.5","18.5|1.05%","1794-1769.5","3425100","1949-1306.5","Japan","-1.6","27.4","7.4","15.72","1379628.25","JPY","-","7.35","12.89","-","-","-"
"Sumitomo Mitsui Trust Holdings Inc","0.86","EQUITY","8309","Large Value","2014-03-31","2118800","0","Financial Services","73420481","4054","-8|-0.2%","4089-4046","2118100","4644-3171","Japan","6.21","20.58","-0.65","15.44","1553872","JPY","3","-1.53","12.81","-","-","-"
"BP PLC","0.84","EQUITY","BP.","Large Value","2015-06-30","12540598","0","Energy","72185905","448.2","4.55|1.03%","449.05-444.65","5963922","521.2-408.63","United Kingdom","2.01","11.35","2.03","5.55","87241.68","GBX","3","-9.82","52.22","-","-","-"
"Samsung Electronics Co Ltd","0.83","EQUITY","005930","Large Core","2003-12-31","38551","622","Technology","70949853","2410000","22000|0.92%","2412000-2346000","254028","2566000-1456000","South Korea","8.34","59.29","22.9","13.95","367898944","KRW","3","34.52","13.62","-","-","-"
"Bangkok Bank PCL DR","0.81","EQUITY","BBL-R","Large Value","2012-12-31","13166800","0","Financial Services","69549958","-","-","-","-","-","-","-","-","-","-","-","THB","-","-","-","-","-","-"
"Sampo Oyj A","0.79","EQUITY","SAMPO","Large Value","2008-12-31","1431950","23088","Financial Services","67947333","46.24","0.06|0.13%","46.31-46.08","104946","47.46-35.93","Finland","4.98","31.28","11.81","20.68","25860.8","EUR","-","13.83","15.5","-","-","-"
"ICICI Bank Ltd ADR","0.79","EQUITY","IBN","Large Value","2017-03-31","7834900","7834900","Financial Services","67380140","9.27","-0.21|-2.22%","9.35-9.21","7197569","9.85-6.42","India","19.89","28.27","2.04","9.28","29518.78","USD","-","37.18","18.77","-","-","-"
"Canadian Natural Resources Ltd","0.78","EQUITY","CNQ","Large Value","2015-12-31","2054300","0","Energy","67258880","38.49","-0.16|-0.41%","38.87-38.31","1783122","46.74-35.9","Canada","-10.84","0.74","-4.95","8.65","46757.9","CAD","3","-8.76","296.08","-","-","-"
"Bayerische Motoren Werke AG","0.76","EQUITY","BMW","Large Value","2016-09-30","718282","384211","Consumer Cyclical","65537559","77.68","-0.17|-0.22%","77.96-77.29","474046","91.76-72.02","Germany","-7.19","7.08","-1.75","9.37","50593.27","EUR","4","-8.34","6.93","-","-","-"
"Takashimaya Co Ltd","0.76","EQUITY","8233","Mid Value","2015-09-30","7429000","0","Consumer Cyclical","65118220","1010","2|0.2%","1018-1002","1810000","1167-739","Japan","-1.56","30.52","3.01","13.08","352278.5","JPY","-","5.39","17.82","-","-","-"
"Hino Motors Ltd","0.76","EQUITY","7205","Large Core","2016-09-30","5343800","2568700","Consumer Cyclical","64788428","1301","77|6.29%","1310-1248","5999400","1440-1003","Japan","-6.87","21.85","-0.93","21.79","702181.69","JPY","-","10.59","14.21","-","-","-"
"Assa Abloy AB B","0.75","EQUITY","ASSA B","Large Growth","2010-03-31","3140895","50641","Industrials","64569578","174.8","0.6|0.34%","174.8-173.4","571084","198.4-159.9","Sweden","-9.22","-5.59","16.01","21.7","386994.47","SEK","3","4.79","27.4","-","-","-"
"Swire Pacific Ltd Class A","0.75","EQUITY","00019","Large Value","2012-06-30","6451850","0","Real Estate","64488018","77.9","-0.05|-0.06%","78-77.45","918512","94-72.2","Hong Kong","3.74","-13.92","-4.3","0.33","111954.75","HKD","3","6.41","12.18","-","-","-"
"PT Telekomunikasi Indonesia (Persero) Tbk ADR","0.74","EQUITY","TLK","Large Growth","2006-09-30","2049138","33000","Communication Services","63871631","35.06","0.28|0.81%","35.21-34.77","177040","35.97-27.17","Indonesia","9.74","10.06","16.86","15.23","34919.43","USD","-","23.25","21.53","-","-","-"
"Wolters Kluwer NV","0.73","EQUITY","WKL","Large Growth","2014-12-31","1499483","266277","Consumer Cyclical","62232314","37.35","0.17|0.44%","37.53-37.09","364713","40.15-30.65","Netherlands","-4.62","0.61","23.05","24.23","10602.89","EUR","3","9.79","22.4","-","-","-"
"Accenture PLC A","0.72","EQUITY","ACN","Large Growth","2016-12-31","516690","265000","Technology","61940797","128.4","0.24|0.19%","128.53-127.31","1133850","129.7-108.83","United States","5.85","16.72","18.75","18.05","82019.5","USD","3","10.65","22.77","-","-","-"
