"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Vale SA A","0.19","EQUITY","VALE5","Large Value","2015-06-30","26487","3295","Basic Materials","215148","28.38","0.57|2.05%","28.4-27.44","13273300","35.2-13.81","Brazil","8.07","96.87","2.28","-0.82","146252.78","BRL","-","25.47","7.69","-","-","-"
"Remgro Ltd","0.19","EQUITY","REM","Large Core","2007-12-31","12941","1361","Financial Services","211096","21500","10|0.05%","21550-21366","585179","27036-19954","South Africa","-3.08","-14.5","-0.6","11.19","197376.59","ZAC","-","-2.74","15.89","-","-","-"
"Sanlam Ltd","0.19","EQUITY","SLM","Large Core","1999-06-30","42578","4463","Financial Services","210886","6769","48|0.71%","6793-6726","2990646","7364-5944","South Africa","-4.51","6.67","6.73","16.96","135393.53","ZAC","-","11.88","14.21","-","-","-"
"Cielo SA","0.19","EQUITY","CIEL3","Large Core","2010-03-31","28306","1688","Technology","210184","25.86","0.07|0.27%","25.91-25.62","2750500","31.48-20.36","Brazil","7.8","-12.29","1.96","14.02","70023.55","BRL","-","12.77","17.5","-","-","-"
"Banco do Brasil SA BB Brasil","0.19","EQUITY","BBAS3","Large Value","2007-12-31","25889","7671","Financial Services","209433","28.56","-0.03|-0.1%","28.65-28.38","3641900","35.39-20.03","Brazil","-12.26","42.1","3.96","11.18","79535.63","BRL","-","2.95","9.95","-","-","-"
"Catcher Technology Co Ltd","0.19","EQUITY","2474","Large Core","2006-06-30","17554","1786","Industrials","209216","349","-7|-1.97%","357-347.5","3168","388-204","Taiwan","14.84","63.03","12.96","19.01","274259.19","TWD","-","58.93","13.93","-","-","-"
"The Siam Commercial Bank PCL","0.17","EQUITY","SCB","Large Value","2011-09-30","42986","4751","Financial Services","196527","150.5","-1.5|-0.99%","152-150","6097300","166-135","Thailand","-3.53","2.3","-2.91","2.99","511577.47","THB","-","1.31","10.44","-","-","-"
"China Unicom (Hong Kong) Ltd","0.17","EQUITY","00762","Large Core","2008-09-30","131946","13701","Communication Services","195857","11.4","-","11.48-11.38","3285311","12.1-8.02","China","13.55","37.02","-3.66","1.29","272996.72","HKD","2","26.25","214.58","-","-","-"
"China Resources Land Ltd","0.17","EQUITY","01109","Large Core","2002-09-30","66494","7112","Real Estate","193716","25.2","0.2|0.8%","25.2-24.85","2455723","25.6-17.04","China","18.57","31.95","15.89","12.13","173273.48","HKD","3","46.86","8.89","-","-","-"
"Advanced Semiconductor Engineering Inc","0.17","EQUITY","2311","Large Value","2002-06-30","151078","14832","Technology","193644","39.95","-0.65|-1.6%","40.3-39.9","7155","40.85-32.05","Taiwan","6.98","12.26","8.22","18.76","335905.97","TWD","-","23.22","15.15","-","-","-"
"PKO Bank Polski SA","0.17","EQUITY","PKO","Large Value","2007-09-30","20675","2182","Financial Services","192220","-","-","-","-","-","-","4.08","53.81","0.94","4.41","45912.5","PLN","-","30.53","16.62","-","-","-"
"OTP Bank PLC","0.17","EQUITY","OTP","Large Core","2003-05-31","5663","1399","Financial Services","189522","-","-","-","-","-","-","19.85","45.1","33.78","23.92","2623901.5","HUF","-","15.39","12.42","-","-","-"
"Aspen Pharmacare Holdings Ltd","0.17","EQUITY","APN","Large Growth","2005-06-30","8594","907","Healthcare","188577","27600","-303|-1.09%","28068-27458","799975","38394-25564","South Africa","-0.44","-27.18","-1.76","15.31","125856","ZAC","-","-2.67","32.98","-","-","-"
"China Shenhua Energy Co Ltd H","0.17","EQUITY","01088","Large Value","2007-06-30","84632","8844","Basic Materials","188296","19.52","0.76|4.05%","19.58-19.2","11937203","20.6-13.42","China","22.17","52","0.83","-1.92","489621.12","HKD","3","51.8","10.64","-","-","-"
"Sime Darby Bhd","0.17","EQUITY","4197","Large Core","2006-09-30","84541","8969","Consumer Cyclical","187090","9.5","-","9.51-9.49","310300","9.7-7.42","Malaysia","1.82","28.55","2.43","2.35","64607.97","MYR","-","18.02","21.06","-","-","-"
"SM Investments Corp","0.16","EQUITY","SM","Large Growth","2005-06-30","11658","1237","Consumer Cyclical","185342","802","-3|-0.37%","805-798.5","28410","809.5-599","Philippines","11.64","18.94","15.89","16.3","969689.19","PHP","-","24.09","30.5","-","-","-"
"Emirates Telecommunications Group Co PJSC","0.16","EQUITY","ETISALAT","Large Core","2017-02-28","39397","4071","Communication Services","185345","-","-","-","-","-","-","8.02","-1.75","24.8","21.72","163972.38","AED","-","2.39","18.96","-","-","-"
"Bid Corp Ltd","0.16","EQUITY","BID","Mid Growth","2016-08-31","8071","852","Consumer Defensive","184365","31740","370|1.18%","31740-30789","791224","32299-22183","South Africa","12.1","19.33","-","-","105325.27","ZAC","-","30.49","28.1","-","-","-"
"Qatar National Bank SAQ","0.16","EQUITY","QNBK","Large Core","2016-08-31","5307","521","Financial Services","183838","-","-","-","-","-","-","-2.09","3.52","3.69","10.27","130048.91","QAR","-","-2.77","10.51","-","-","-"
