"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Uni-President China Holdings Ltd","0.74","EQUITY","00220","Large Core","2017-03-31","26188000","412000","Consumer Defensive","21149755","6.1","-0.11|-1.77%","6.25-6.09","351000","6.77-4.92","China","14.32","4.2","-1.32","-2.36","26823.06","HKD","2","14.11","38.2","-","-","-"
"Malaysia Airports Holdings Bhd","0.71","EQUITY","5014","Large Growth","2017-03-31","10166300","-189700","Industrials","20276940","8.7","-0.04|-0.46%","8.74-8.7","26300","9.45-5.85","Malaysia","15.79","51.11","7.69","11.84","17480","MYR","-","45.21","250.52","-","-","-"
"ICICI Bank Ltd","0.7","EQUITY","ICICIBANK","Large Value","2013-06-30","4417171","-2633684","Financial Services","19874244","296.15","-11.05|-3.6%","304-293.85","30571846","314.45-215.14","India","17.87","20.69","5.24","13.62","1894658.62","INR","-","28.58","18.69","-","-","-"
"BEC World PCL Shs Foreign Registered","0.67","EQUITY","BEC-F","Mid Value","2015-03-31","30764700","-617100","Consumer Cyclical","19018508","19.3","0.2|1.05%","19.3-19.3","800","25.5-15","Thailand","-0.77","-21.96","-32.27","-12.76","37000","THB","-","14.41","43.86","-","-","-"
"Kweichow Moutai Co Ltd","0.66","EQUITY","600519","Large Growth","2015-06-30","268120","-240100","Consumer Defensive","18670883","484.77","0.85|0.18%","486-481.8","1253836","486-287.56","China","18.68","55.26","49.69","19.85","607899.25","RMB","2","46.85","31.71","-","-","-"
"LIG Nex1 Co Ltd","0.6","EQUITY","079550","Mid Value","2015-12-31","261864","-235442","Industrials","16940921","84300","1800|2.18%","85600-83000","79492","108000-64400","South Korea","2.23","-19.38","-","-","1815000","KRW","-","2.48","30.29","-","-","-"
"NTPC Ltd","0.58","EQUITY","NTPC","Large Value","2015-06-30","6717437","-1120892","Utilities","16519399","163.9","-1.5|-0.91%","165.85-161.8","4854574","178.25-143.3","India","-0.36","6.09","5.32","3.77","1350607.12","INR","-","1.07","12.61","-","-","-"
"British American Tobacco Malaysia Bhd","0.57","EQUITY","4162","Large Value","2016-06-30","1614700","0","Consumer Defensive","16338447","44","-0.18|-0.41%","44.44-44","6500","52-41","Malaysia","-1.89","-2.88","-9.42","-1.15","12614.72","MYR","-","2.71","16.51","-","-","-"
"PT Sarana Menara Nusantara Tbk","0.56","EQUITY","TOWR","Large Growth","2017-06-30","56265600","56265600","Technology","16035314","-","-","-","-","-","-","7.44","3.44","1.64","20.37","41831992","IDR","-","16.44","14.94","-","-","-"
"Universal Robina Corporation","0.55","EQUITY","URC","Large Growth","2016-06-30","4864640","-90790","Consumer Defensive","15713954","159.5","-0.5|-0.31%","160.1-159","28740","207.4-150","Philippines","-6.98","-18.42","1.25","24.48","352665.91","PHP","-","-0.21","23.05","-","-","-"
"John Keells Holdings PLC","0.53","EQUITY","JKH.N0000","Mid Value","2017-06-30","12831617","12831617","Industrials","14964931","-","-","-","-","-","-","9.25","28.57","1.05","7.17","241189.59","LKR","-","22.76","14.7","-","-","-"
"Commercial Bank of Ceylon PLC","0.48","EQUITY","COMB.N0000","Mid Value","2017-06-30","14990626","14990626","Financial Services","13624993","-","-","-","-","-","-","-2.55","13.61","3.41","12.35","125286.73","LKR","-","0.74","8.47","-","-","-"
"Merida Industry Co Ltd","0.46","EQUITY","9914","Mid Value","2016-06-30","2452000","0","Consumer Cyclical","13123865","145","-1|-0.68%","147-145","77","172-121","Taiwan","-9.88","4.48","-9.89","10.44","43651.66","TWD","-","1.39","24.87","-","-","-"
"Pacific Textiles Holdings Ltd","0.46","EQUITY","01382","Mid Value","2015-09-30","11370000","-212000","Consumer Cyclical","13118769","8.79","-0.07|-0.79%","8.85-8.71","380000","11.52-8.3","China","2.67","-13.09","5.63","18.96","12815.31","HKD","-","5.23","13.22","-","0","-"
"SM Investments Corp","0.44","EQUITY","SM","Large Growth","2017-03-31","781800","132370","Consumer Cyclical","12429678","802","-3|-0.37%","805-798.5","28410","809.5-599","Philippines","11.64","18.94","15.89","16.3","969689.19","PHP","-","24.09","30.5","-","-","-"
"Singapore Post Ltd","0.4","EQUITY","S08","Mid Value","2016-03-31","11661500","2609800","Industrials","11265073","1.32","0.01|0.76%","1.33-1.31","1749900","1.65-1.23","Singapore","-4.71","-8.19","-5.42","8.82","2978.54","SGD","-","-9.9","155.95","-","-","-"
"Giant Manufacturing Co Ltd","0.38","EQUITY","9921","Mid Value","2016-06-30","1906000","0","Consumer Cyclical","10894276","148","-2.5|-1.66%","150.5-147","216","229-147","Taiwan","-17.53","-27.95","-11.65","2.74","56447.28","TWD","-","-17.76","20.82","-","-","-"
"Zhou Hei Ya International Holdings Co Ltd","0.37","EQUITY","01458","-","2017-03-31","10420000","-4908500","Consumer Defensive","10456610","7.65","0.03|0.39%","7.75-7.6","2025500","9.92-6.1","China","-6.31","-","-","-","18231.03","HKD","-","13.53","17.81","-","-","-"
"Hero Supermarket Tbk","0.13","EQUITY","HERO","Small Core","2012-12-31","41741400","0","Consumer Cyclical","3774294","-","-","-","-","-","-","-8.2","3.98","-26.42","-18.21","4915770","IDR","-","-6.75","27.33","-","-","-"
"Ozner Water International Holding Ltd","0.1","EQUITY","02014","Small Core","2014-06-30","14325000","-2753000","Industrials","2979817","1.91","0.01|0.53%","1.91-1.9","173000","2.24-1.32","China","-2.56","41.79","-18.73","-","3286.4","HKD","-","2.7","19.2","-","-","-"
"BEC World PCL DR","0.05","EQUITY","BEC-R","Mid Value","2015-12-31","2301800","0","Consumer Cyclical","1422719","-","-","-","-","-","-","-","-","-","-","-","THB","-","-","-","-","-","-"
"Trinity Ltd","0.05","EQUITY","00891","Small Value","2012-12-31","21364000","-9156000","Consumer Cyclical","1326785","0.45","-","0.45-0.45","1002000","0.74-0.45","China","-19.64","-28.57","-36.3","-29.57","785.94","HKD","-","-22.41","-","-","-","-"
